state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
06,067,0006,2022-03-09,2.506,2.50637
06,067,0006,2022-03-12,2.026,2.02581
06,067,0006,2022-03-15,2.184,2.18405
06,067,0006,2022-03-18,2.035,2.03548
06,067,0006,2022-03-21,1.667,1.66727
06,067,0006,2022-03-24,1.565,1.56503
06,067,0006,2022-03-30,1.003,1.00258
06,067,0006,2022-04-02,1.883,1.88256
06,067,0006,2022-04-05,0.921,0.92082
06,067,0006,2022-04-08,2.79,2.78965
06,067,0006,2022-04-11,2.197,2.1966
06,067,0006,2022-04-14,0.788,0.78844
06,067,0006,2022-04-17,0.728,0.72844
06,067,0006,2022-04-23,1.517,1.5167
06,067,0006,2022-04-26,1.357,1.35731
06,067,0006,2022-04-29,1.702,1.70185
06,067,0006,2022-05-02,1.556,1.55602
06,067,0006,2022-05-05,1.413,1.41324
06,067,0006,2022-05-08,0.97,0.96973
06,067,0006,2022-05-11,2.8,2.80011
06,067,0006,2022-05-14,2.124,2.12437
06,067,0006,2022-05-17,2.091,2.09059
06,067,0006,2022-05-20,2.121,2.12066
06,067,0006,2022-05-23,1.977,1.97746
06,067,0006,2022-05-26,1.723,1.72258
06,067,0006,2022-05-29,1.405,1.40503
06,073,1022,2022-01-02,3.952,4.43578
06,073,1022,2022-01-14,4.593,5.06571
06,073,1022,2022-01-17,2.401,2.71152
06,073,1022,2022-01-20,2.782,3.24403
06,073,1022,2022-01-23,3.954,4.4728
06,073,1022,2022-01-26,2.781,3.08897
06,073,1022,2022-01-29,5.211,6.14084
06,073,1022,2022-02-01,2.098,2.84088
06,073,1022,2022-02-04,3.933,4.49743
06,073,1022,2022-02-07,2.96,3.36007
06,073,1022,2022-02-10,1.594,1.736
06,073,1022,2022-02-13,2.42,2.77284
06,073,1022,2022-02-16,1.442,1.54076
06,073,1022,2022-02-19,3.014,3.40177
06,073,1022,2022-02-22,0.6,0.62246
06,073,1022,2022-02-25,2.114,2.36591
06,073,1022,2022-02-28,2.771,3.09058
